Theme Name,Primary Color,Secondary Color,Accent Color,Use Case
Purple Dream,#8B5CF6,#EC4899,#F59E0B,Default - Modern crypto look
Ocean Blue,#0EA5E9,#06B6D4,#14B8A6,Trust and stability
Forest Green,#10B981,#34D399,#059669,Growth and eco-friendly
Sunset Orange,#F97316,#FB923C,#FBBF24,Energy and enthusiasm
Royal Purple,#7C3AED,#A78BFA,#C4B5FD,Premium and luxury
Fire Red,#EF4444,#F87171,#FCA5A5,Bold and aggressive
Electric Cyan,#06B6D4,#22D3EE,#67E8F9,Tech and innovation
Gold Rush,#F59E0B,#FBBF24,#FDE047,Wealth and success
Mint Fresh,#10B981,#6EE7B7,#A7F3D0,Clean and fresh
Deep Space,#6366F1,#818CF8,#A5B4FC,Mystery and future
Pink Power,#EC4899,#F472B6,#F9A8D4,Fun and vibrant
Matrix Green,#22C55E,#4ADE80,#86EFAC,Hacker aesthetic
Bitcoin Orange,#F7931A,#FFB74D,#FFA726,Classic crypto
Ethereum Purple,#627EEA,#8C9EFF,#B39DDB,Ethereum themed
Solana Gradient,#14F195,#9945FF,#00D4FF,Solana inspired
